X,Y,OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-8830837.81801103,5418507.8008735,57,GO-2004734029,2004/12/03 05:00:00+00,2004,December,3,Friday,338,D54,Stabbing,58,Old East York,58,Old East York (58),-79.3287658345987,43.6959378070911
-8837093.60325631,5427168.33570421,58,GO-2004735980,2004/12/11 05:00:00+00,2004,December,11,Saturday,346,D33,Stabbing,40,St.Andrew-Windfields,40,St.Andrew-Windfields (40),-79.3849625101428,43.7521612887036
-8838969.85152882,5412612.19004248,59,GO-2004730198,2004/12/11 05:00:00+00,2004,December,11,Saturday,346,D14,Stabbing,79,University,79,University (79),-79.4018171352701,43.6576337993323
-8828637.6682029,5420474.16085847,60,GO-2004775505,2004/12/12 05:00:00+00,2004,December,12,Sunday,347,D54,Stabbing,54,O'Connor-Parkview,54,O'Connor-Parkview (54),-79.3090015531075,43.7087078852371
-8836413.94644673,5413079.51203103,61,GO-2004736004,2004/12/19 05:00:00+00,2004,December,19,Sunday,354,D51,Shooting,168,Downtown Yonge East,75,Church-Yonge Corridor (75),-79.3788570492054,43.6606708997747
-8822795.19497242,5423871.5868602,62,GO-2004811677,2004/12/19 05:00:00+00,2004,December,19,Sunday,354,D41,Shooting,124,Kennedy Park,124,Kennedy Park (124),-79.2565177228836,43.730765285934
-8830726.75455507,5421076.20377766,63,GO-2004730003,2004/12/20 05:00:00+00,2004,December,20,Monday,355,D54,Shooting,44,Flemingdon Park,44,Flemingdon Park (44),-79.3277681347897,43.7126171721636
-8820500.45844011,5424581.60685279,64,GO-2004860547,2004/12/31 05:00:00+00,2004,December,31,Friday,366,D42,Stabbing,123,Cliffcrest,123,Cliffcrest (123),-79.2359037543924,43.7353739841123
-8823765.17891392,5438766.71280066,65,GO-2005879569,2005/01/14 05:00:00+00,2005,January,14,Friday,14,D42,Stabbing,130,Milliken,130,Milliken (130),-79.2652312366933,43.8273743454401
-8841489.14440963,5413803.87804886,66,GO-2005910043,2005/01/18 05:00:00+00,2005,January,18,Tuesday,18,D14,Stabbing,172,Dovercourt Village,93,Dovercourt-Wallace Emerson-Junction (93),-79.4244483275301,43.6653782126315
-8839625.03307856,5410346.43296096,67,GO-2005920738,2005/01/21 05:00:00+00,2005,January,21,Friday,21,D14,Shooting,162,West Queen West,82,Niagara (82),-79.4077027307644,43.642906584578
-8839625.03307856,5410346.43296096,68,GO-2005920738,2005/01/21 05:00:00+00,2005,January,21,Friday,21,D14,Shooting,162,West Queen West,82,Niagara (82),-79.4077027307644,43.642906584578
-8831213.09582937,5435655.4635493,69,GO-20051003568,2005/01/24 05:00:00+00,2005,January,24,Monday,24,D42,Other,116,Steeles,116,Steeles (116),-79.3321370132723,43.8072078322488
-8852281.46685074,5430416.72825039,70,GO-2005812174,2005/01/26 05:00:00+00,2005,January,26,Wednesday,26,D31,Other,24,Black Creek,24,Black Creek (24),-79.5213974095827,43.7732359787382
-8825661.93602149,5429828.83512007,71,GO-2005951634,2005/02/11 05:00:00+00,2005,February,11,Friday,42,D33,Shooting,126,Dorset Park,126,Dorset Park (126),-79.2822700955946,43.769422438429
-8844975.34725551,5414564.83782116,72,GO-2005733656,2005/02/11 05:00:00+00,2005,February,11,Friday,42,D12,Other,91,Weston-Pelham Park,91,Weston-Pellam Park (91),-79.4557654207592,43.6703229343187
